OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.9260575699013116,0.99,99.76643454708507*(x-0.9260575699013116)*(x-0.9260575699013116)*(x-0.9260575699013116)-18.32149431850637*(x-0.9260575699013116)*(x-0.9260575699013116)-1.1212823283312072*(x-0.9260575699013116)+0.982111780307564
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.99,1.1,0.8615870311018514
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,0.7683278950258262
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.1351509938791985,1.0186237157791733
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.1351509938791985,0.3397680875962793,0.14011458528284673*(x-0.13515099387919852)*(x-0.13515099387919852)*(x-0.13515099387919852)-0.24807889430887126*(x-0.13515099387919852)*(x-0.13515099387919852)+0.2942506263493812*(x-0.13515099387919852)+1.0186237157791733
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.3397680875962793,0.4101241731309944,-33.88319102727081*(x-0.3397680875962793)*(x-0.3397680875962793)*(x-0.3397680875962793)+2.081098937859279*(x-0.3397680875962793)*(x-0.3397680875962793)+0.2103272791578023*(x-0.3397680875962793)+1.0696461714316379
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.4101241731309944,0.4805503471479305,138.0088264375231*(x-0.4101241731309944)*(x-0.4101241731309944)*(x-0.4101241731309944)-14.57915043984321*(x-0.4101241731309944)*(x-0.4101241731309944)+0.0*(x-0.4101241731309944)+1.0829451726482289
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.4805503471479305,0.5603968519828091,-187.44628694811502*(x-0.48055034714793055)*(x-0.48055034714793055)*(x-0.48055034714793055)+22.450396285624045*(x-0.48055034714793055)*(x-0.48055034714793055)+0.0*(x-0.48055034714793055)+1.0588417257155545
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.5603968519828091,0.661978134980784,45.968932652312404*(x-0.5603968519828091)*(x-0.5603968519828091)*(x-0.5603968519828091)-8.702151386511881*(x-0.5603968519828091)*(x-0.5603968519828091)+0.0*(x-0.5603968519828091)+1.106552292652533
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.661978134980784,0.7955716053184864,-8.052518010372308*(x-0.661978134980784)*(x-0.661978134980784)*(x-0.661978134980784)+1.4565252179690464*(x-0.661978134980784)*(x-0.661978134980784)-0.3449246609473853*(x-0.661978134980784)+1.0649412007810655
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.7955716053184864,0.90402578990297,49.140626339662695*(x-0.7955716053184864)*(x-0.7955716053184864)*(x-0.7955716053184864)-6.819517102214555*(x-0.7955716053184864)*(x-0.7955716053184864)-0.3869052122639371*(x-0.7955716053184864)+1.0256570488675414
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.90402578990297,0.9622473632882496,9.123969898662505*(x-0.9040257899029701)*(x-0.9040257899029701)*(x-0.9040257899029701)+0.33758711555254606*(x-0.9040257899029701)*(x-0.9040257899029701)-0.13209368093528942*(x-0.9040257899029701)+0.966169593425636
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.9622473632882496,0.99,14.276592557122857*(x-0.9622473632882496)*(x-0.9622473632882496)*(x-0.9622473632882496)+0.41872073185052283*(x-0.9622473632882496)*(x-0.9622473632882496)+0.0*(x-0.9622473632882496)+0.9614239042892992
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.99,1.1,0.9620515735240069
