DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.008884393610060215"
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.0088691534474492073"
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.019252857193350792"
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.024255448952317238"
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))-0.098567873239517212"
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.065820932388305664"
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.020254978910088539"
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.018725322559475899"
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.022655976936221123"
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.02221098355948925"
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.022172883152961731"
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.048132143914699554"
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.06063862144947052"
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.24641968309879303"
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.026328373700380325"
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.0081019913777709007"
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.0074901287443935871"
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.0090623907744884491"
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.008884393610060215"
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.0088691534474492073"
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.019252857193350792"
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.024255448952317238"
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.00872+-1.57517e-06*log(x+19)*log(x+18)*(3- -179.16*log(x+18))+0.098567873239517212"
1, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))"
1, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))"
1, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.13491140305995941"
1, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.048510201275348663"
1, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.054248549044132233"
1, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.056840769946575165"
1, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.081443741917610168"
1, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.25088942050933838"
1, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.21502035856246948"
1, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.14369340240955353"
1, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.32555884122848511"
1, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.044970467686653137"
1, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.016170067712664604"
1, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.018082849681377411"
1, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.018946923315525055"
1, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.027147915214300156"
1, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.083629809319972992"
1, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.071673452854156494"
1, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.047897800803184509"
1, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))-0.10851961374282837"
1, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.13491140305995941"
1, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.048510201275348663"
1, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.054248549044132233"
1, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.056840769946575165"
1, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.081443741917610168"
1, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.25088942050933838"
1, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.21502035856246948"
1, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "1.00635+1.19211e-05*log(x+19)*log(x+18)*(3-22.3187*log(x+18))+0.14369340240955353"
